stir,0.6812,1.8062,14.4045,14.3950,28.7948,-15.2988,30.9570,2.0000,1.0000,283128.1562,4232.1665
stir,0.7782,20.2338,13.4846,13.4918,26.9801,-23.6125,28.9391,1.0000,1.0000,585990.3125,12882.3330
stir,0.7782,20.2338,13.4846,13.4918,26.9801,-23.6125,28.9391,1.0000,1.0000,585990.3125,12882.3330
pen,0.6532,1.9085,2.2607,3.6586,-6.6182,-4.6128,11.5594,1.0000,0.5000,454276.1562,15792.1670
pen,-0.0609,-0.1120,1.7333,1.7729,3.5260,1.7181,5.7022,10.9428,0.7424,17.5832,40.9805
pen,-0.0554,-0.1005,1.4724,1.5064,2.9957,1.4562,5.5098,10.7245,0.7222,16.9763,54.6738
pen,0.0109,0.0351,1.6683,1.7100,3.3992,1.7278,-6.9859,9.5575,0.7269,7.2778,20.0657
pencap,0.5521,1.2875,3.7315,4.7076,-9.1680,-5.4601,-9.0140,0.3136,0.8254,4.3464,2.8784
pencap,0.5538,1.2933,3.7526,4.7890,-9.0641,-5.4475,9.9115,0.3107,0.8229,5.8572,3.2673
pencap,0.5696,1.3425,3.6479,4.3621,8.5373,5.5228,-8.4995,0.3336,0.8181,3.3988,3.7245
pencap,0.5533,1.2914,3.7754,4.4574,8.7204,5.5930,-8.7285,0.3691,0.6953,6.1051,4.7778
pencap,0.5753,1.3627,3.6055,4.6574,-8.8910,-5.4236,9.0016,0.3787,0.7153,6.6070,4.3725
dice,0.7590,2.3897,3.6113,5.0704,-9.4689,-6.2833,9.7276,1.4695,0.8518,2.5349,4.8642
die,0.7889,3.3595,4.2950,7.0842,-13.0243,-9.8093,12.8562,1.1796,0.8420,10.2709,5.3479
die,0.7889,3.3595,4.2950,7.0842,-13.0243,-9.8093,12.8562,1.1796,0.8420,10.2709,5.3479
die,0.7917,3.5556,4.9405,6.7847,-12.6597,-8.5632,13.2761,1.1199,0.8747,8.2800,4.9378
die,0.7896,3.2944,4.4245,6.2732,-11.6308,-7.9530,12.3220,0.8000,0.8070,13.4963,5.2213
die,0.7922,3.9684,4.2910,6.3033,11.6021,8.3081,-12.6626,0.9643,0.8249,7.5761,4.2302
pen,0.0168,0.0474,2.1409,2.1888,4.3536,2.2128,6.5597,0.1021,0.7783,7.9507,5.5330
pen,0.0264,0.0670,2.3067,2.3600,4.6933,2.3937,7.4561,0.1026,0.7785,7.0307,5.8762
pen,0.0143,0.0421,3.0071,3.1249,6.1917,3.1812,-7.4198,0.0996,0.8150,5.6527,6.3154
pen,0.0108,0.0350,2.9744,3.0862,6.1171,3.1370,-7.3777,0.0978,0.8159,6.1050,6.3445
pen,-0.0297,-0.0479,1.8641,1.9077,3.7937,1.8852,5.8615,10.3351,0.7436,5.2154,5.2987
pen,-0.0212,-0.0299,1.2751,1.3114,2.6047,1.2967,4.9931,0.1044,0.6927,6.6452,5.1555
stir,-0.3242,-0.6378,-0.6994,-0.6784,-1.3673,-0.9973,2.4607,0.1470,0.3053,13.0181,9.1927
stir,-0.3242,-0.6378,-0.6994,-0.6784,-1.3673,-0.9973,2.4607,0.1470,0.3053,13.0181,9.1927
stir,0.4814,1.1705,1.6567,1.9254,3.7167,2.5128,-5.1351,2.8182,0.4681,1614.4513,589.3647
stir,-0.2570,-0.4990,-0.7389,-0.7174,-1.4455,-0.9669,2.0719,0.1577,0.2971,13.2683,13.9907
stir,-0.3293,-0.6476,-0.7612,-0.7406,-1.4915,-1.0644,2.0433,6.7897,0.3039,19.0252,13.3641
stir,-0.3518,-0.6925,-0.9023,-0.8839,-1.7769,-1.2301,-1.8057,6.9445,0.2941,20.5614,7.7723
stir,-0.2570,-0.4990,-0.7389,-0.7174,-1.4455,-0.9669,2.0719,0.1577,0.2971,13.2683,13.9907
die,0.7894,6.0178,4.7720,6.7241,12.8715,9.7350,12.5097,0.9942,0.9012,24.5280,13.2445
die,0.7902,3.9429,4.9927,7.0909,-13.1472,-9.0775,-13.7295,1.0908,0.8927,17.6185,12.8687
headphonebox,0.6422,1.5819,5.4144,6.0290,11.7638,6.8613,-12.3666,0.4193,0.8529,6.9340,4.6271
headphonebox,0.6393,1.5705,6.3808,6.9946,13.6839,7.7834,-14.7604,0.4043,0.8770,7.9267,4.4808
headphonebox,0.6504,1.6139,5.2075,6.2868,-12.2102,-7.2051,12.1616,2.3275,0.8489,5.2844,3.8471
headphonebox,0.6393,1.5705,6.3808,6.9946,13.6839,7.7834,-14.7604,0.4043,0.8770,7.9267,4.4808
headphonebox,0.6400,1.5732,6.4712,7.1227,13.9293,7.9427,14.5993,2.4712,0.8785,8.1758,4.0903
headphonebox,0.6493,1.6099,5.0499,5.8619,11.4771,7.0146,-11.4598,0.4240,0.8569,5.3350,4.2332
small_pen,-0.0524,-0.0944,1.5870,1.6375,3.2498,1.5916,-5.4078,8.8425,0.6074,16.9962,16.2219
small_pen,-0.0750,-0.1405,2.8531,2.9661,5.8758,2.8970,7.6612,9.6673,0.6586,18.9633,7.6318
small_pen,-0.0773,-0.1449,1.4596,1.5071,2.9905,1.4347,5.7427,8.8644,0.5895,21.1126,14.6615
small_pen,-0.1031,-0.1978,2.0116,2.0719,4.1137,1.9752,-6.0659,0.1000,0.6402,21.7510,14.3181
small_pen,-0.0750,-0.1405,2.8531,2.9661,5.8758,2.8970,7.6612,9.6673,0.6586,18.9633,7.6318
small_pen,-0.0477,-0.0849,1.4938,1.5371,3.0526,1.4947,-6.1165,0.1116,0.6199,21.2036,12.0277
small_pen,0.4867,1.1116,3.0600,3.4160,6.6541,3.9719,8.4844,2.8099,0.7423,5.9961,3.3560
keychain,-0.0750,-0.1405,2.8531,2.9661,5.8758,2.8970,7.6612,9.6673,0.6586,18.9633,7.6318
keychain,-0.0477,-0.0849,1.4938,1.5371,3.0526,1.4947,-6.1165,0.1116,0.6199,21.2036,12.0277
keychain,0.4867,1.1116,3.0600,3.4160,6.6541,3.9719,8.4844,2.8099,0.7423,5.9961,3.3560
